integration,status,passed,failed,errors,skipped,duration_s,dominant_bucket
acaia,pass,24,0,0,0,3.52,
accuweather,pass,38,0,0,0,5.08,
acmeda,pass,8,0,0,0,2.59,
actron_air,pass,49,0,0,0,5.25,
adax,pass,20,0,0,0,2.86,
adguard,pass,36,0,0,0,3.42,
advantage_air,pass,20,0,0,0,4.91,
aemet,issues,16,1,0,0,3.26,
aftership,pass,2,0,0,0,2.29,
aidot,pass,16,0,0,0,2.90,
airgradient,pass,47,0,0,0,4.70,
airly,issues,21,1,0,0,2.99,
airnow,issues,9,1,0,0,2.55,
airobot,pass,60,0,0,0,4.85,
airos,pass,62,0,0,0,4.89,
airpatrol,pass,25,0,0,0,3.19,
airq,issues,22,1,0,0,3.30,
airthings,pass,12,0,0,0,2.56,
airthings_ble,pass,38,0,0,0,4.13,
airtouch4,pass,5,0,0,0,2.39,
airtouch5,pass,5,0,0,0,2.45,
airvisual,issues,15,1,0,0,2.95,
airvisual_pro,issues,10,1,0,0,2.68,
airzone,issues,37,1,0,0,5.58,
airzone_cloud,issues,26,1,0,0,4.95,
aladdin_connect,issues,32,1,0,0,3.78,
alarmdecoder,pass,8,0,0,0,2.40,
alexa_devices,issues,72,1,0,0,7.34,
altruist,pass,11,0,0,0,2.61,
amberelectric,pass,39,0,0,0,3.62,
ambient_network,pass,7,0,0,0,2.76,
ambient_station,issues,3,1,0,0,2.59,
analytics_insights,pass,20,0,0,0,3.11,
androidtv,pass,79,0,0,0,5.23,
androidtv_remote,pass,40,0,0,0,4.60,
anglian_water,pass,14,0,0,0,3.52,
anova,pass,11,0,0,0,2.65,
anthemav,pass,11,0,0,0,2.59,
aosmith,pass,33,0,0,0,3.64,
apcupsd,pass,44,0,0,0,4.29,
apple_tv,pass,51,0,0,0,4.60,
aprilaire,pass,3,0,0,0,2.51,
apsystems,pass,13,0,0,0,3.03,
aquacell,pass,13,0,0,0,2.89,
aranet,pass,19,0,0,0,3.42,
arcam_fmj,pass,85,0,0,0,5.84,
arve,pass,5,0,0,0,2.70,
aseko_pool_live,pass,13,0,0,0,2.80,
asuswrt,pass,60,0,0,0,4.68,
atag,pass,14,0,0,0,2.94,
aurora,pass,4,0,0,0,2.48,
aurora_abb_powerone,pass,7,0,0,0,6.85,
aussie_broadband,pass,14,0,0,0,2.68,
autarco,pass,13,0,0,0,2.73,
autoskope,pass,22,0,0,0,2.91,
avea,pass,20,0,0,0,3.12,
awair,pass,24,0,0,0,2.73,
aws_s3,pass,51,0,0,0,4.96,
azure_data_explorer,pass,18,0,0,0,2.75,
azure_devops,pass,20,0,0,0,2.82,
azure_event_hub,pass,21,0,0,0,2.65,
azure_storage,pass,25,0,0,0,3.70,
backblaze_b2,pass,77,0,0,0,5.64,
baf,pass,8,0,0,0,2.46,
balboa,pass,42,0,0,0,5.47,
bang_olufsen,issues,100,2,0,0,35.95,
bayesian,pass,48,0,0,0,3.16,
blebox,pass,117,0,0,0,8.95,
blue_current,pass,28,0,0,0,3.03,
bluemaestro,pass,11,0,0,0,2.77,
bluesound,pass,39,0,0,0,4.73,
bluetooth,issues,234,1,0,1,9.76,
bond,pass,141,0,0,0,6.29,
bosch_alarm,pass,121,0,0,0,11.87,
bosch_shc,pass,16,0,0,0,2.66,
braviatv,issues,19,1,0,0,2.74,
bring,pass,72,0,0,0,6.03,
broadlink,pass,104,0,0,0,4.81,
brother,pass,33,0,0,0,7.24,
brottsplatskartan,pass,4,0,0,0,2.30,
brunt,pass,8,0,0,0,2.39,
bryant_evolution,pass,24,0,0,0,3.09,
bsblan,pass,127,0,0,0,11.91,
bthome,pass,107,0,0,0,6.98,
caldav,pass,109,0,0,0,6.70,
cambridge_audio,pass,52,0,0,0,7.84,
casper_glow,pass,67,0,0,0,6.44,
cast,pass,86,0,0,0,6.63,
ccm15,pass,8,0,0,0,2.52,
centriconnect,pass,10,0,0,0,2.49,
cert_expiry,pass,18,0,0,0,2.82,
chacon_dio,pass,16,0,0,0,2.83,
chess_com,issues,8,1,0,0,2.82,
cielo_home,pass,7,0,0,0,18.27,
cloudflare,pass,14,0,0,0,2.53,
cloudflare_r2,pass,59,0,0,0,4.67,
co2signal,issues,15,1,0,0,2.87,
coinbase,issues,15,1,0,0,2.59,
color_extractor,pass,9,0,0,0,4.47,
comelit,issues,93,2,0,0,8.99,
compit,pass,65,0,0,0,6.46,
control4,pass,54,0,0,0,4.60,
cookidoo,pass,52,0,0,0,5.41,
coolmaster,pass,37,0,0,0,3.46,
cpuspeed,pass,8,0,0,0,2.38,
crownstone,pass,11,0,0,0,2.68,
cync,pass,19,0,0,0,2.65,
daikin,pass,31,0,0,0,3.09,
data_grand_lyon,issues,40,2,0,0,3.29,
datadog,pass,12,0,0,0,2.41,
deako,pass,13,0,0,0,2.86,
deconz,issues,172,1,0,1,12.86,
decora_wifi,pass,13,0,0,0,3.01,
deluge,pass,7,0,0,0,2.30,
denon_rs232,pass,23,0,0,0,3.07,
denonavr,pass,16,0,0,0,2.87,
derivative,pass,76,0,0,0,4.62,
devialet,pass,13,0,0,0,2.63,
devolo_home_control,issues,41,1,0,0,4.24,
devolo_home_network,issues,51,1,0,0,6.02,
dexcom,pass,10,0,0,0,2.45,
dialogflow,pass,17,0,0,0,3.17,
directv,pass,24,0,0,0,3.07,
discord,pass,11,0,0,0,2.51,
discovergy,pass,25,0,0,0,3.19,
dlink,pass,15,0,0,0,2.57,
dlna_dmr,pass,72,0,0,0,13.95,
dlna_dms,pass,55,0,0,0,7.98,
dnsip,pass,21,0,0,0,2.72,
dormakaba_dkey,pass,14,0,0,0,2.86,
downloader,pass,21,0,0,0,2.63,
drop_connect,pass,30,0,0,0,3.78,
dropbox,pass,29,0,0,0,3.63,
droplet,pass,16,0,0,0,3.18,
dsmr,pass,75,0,0,0,4.57,
dsmr_reader,issues,8,1,0,0,2.77,
duckdns,pass,18,0,0,0,2.68,
duco,pass,61,0,0,0,7.51,
dunehd,pass,6,0,0,0,2.38,
duotecno,pass,5,0,0,0,2.35,
dwd_weather_warnings,pass,11,0,0,0,2.47,
dynalite,pass,33,0,0,0,3.44,
eafm,pass,18,0,0,0,2.64,
earn_e_p1,pass,25,0,0,0,2.87,
easyenergy,pass,70,0,0,0,5.17,
ecobee,pass,60,0,0,0,3.53,
ecoforest,pass,4,0,0,0,2.35,
econet,pass,4,0,0,0,2.33,
ecovacs,issues,74,2,0,0,6.74,
ecowitt,pass,1,0,0,0,2.32,
edl21,pass,2,0,0,0,2.29,
efergy,pass,12,0,0,0,2.54,
egauge,pass,16,0,0,0,2.81,
eheimdigital,issues,79,1,0,0,8.30,
ekeybionyx,pass,13,0,0,0,7.73,
electrasmart,pass,6,0,0,0,2.33,
electric_kiwi,pass,18,0,0,0,3.04,
elgato,pass,36,0,0,0,3.88,
elkm1,pass,45,0,0,0,3.43,
elmax,pass,29,0,0,0,2.85,
elvia,pass,9,0,0,0,2.72,
emoncms,pass,16,0,0,0,2.71,
emonitor,pass,7,0,0,0,2.38,
emulated_roku,pass,7,0,0,0,2.39,
energenie_power_sockets,pass,13,0,0,0,2.61,
energyid,pass,81,0,0,0,3.92,
energyzero,pass,41,0,0,0,3.82,
enigma2,pass,26,0,0,0,3.30,
enocean,pass,14,0,0,0,2.77,
enphase_envoy,issues,231,5,0,0,24.65,
epic_games_store,pass,20,0,0,0,2.68,
epion,pass,4,0,0,0,2.33,
epson,pass,5,0,0,0,2.46,
eq3btsmart,pass,4,0,0,0,2.56,
escea,pass,3,0,0,0,2.32,
essent,pass,14,0,0,0,2.69,
eufylife_ble,pass,10,0,0,0,2.79,
eurotronic_cometblue,pass,39,0,0,0,4.04,
evil_genius_labs,pass,10,0,0,0,2.53,
faa_delays,pass,4,0,0,0,2.33,
fastdotcom,pass,8,0,0,0,2.50,
feedreader,pass,30,0,0,0,3.02,
fibaro,pass,45,0,0,0,3.93,
file,pass,26,0,0,0,2.84,
filesize,pass,13,0,0,0,2.58,
filter,pass,32,0,0,0,4.13,
fing,pass,17,0,0,0,2.88,
firefly_iii,issues,25,1,0,0,3.30,
fireservicerota,pass,5,0,0,0,2.35,
fitbit,pass,60,0,0,0,6.46,
fivem,pass,5,0,0,0,2.36,
fjaraskupan,pass,11,0,0,0,2.87,
flexit_bacnet,pass,19,0,0,0,2.75,
flipr,pass,18,0,0,0,2.79,
flo,pass,10,0,0,0,2.73,
flume,pass,11,0,0,0,2.50,
fluss,pass,16,0,0,0,2.71,
flux_led,pass,82,0,0,0,6.59,
folder_watcher,pass,10,0,0,0,2.63,
forecast_solar,pass,28,0,0,0,2.97,
forked_daapd,pass,36,0,0,0,4.60,
freedompro,pass,38,0,0,0,4.48,
freshr,issues,28,1,0,0,3.42,
fressnapf_tracker,pass,45,0,0,0,4.49,
fritz,issues,138,1,0,0,10.15,
fritzbox,pass,132,0,0,0,8.57,
fritzbox_callmonitor,pass,12,0,0,0,2.45,
fronius,issues,35,1,0,0,3.89,
frontier_silicon,pass,22,0,0,0,2.64,
fujitsu_fglair,pass,25,0,0,0,3.56,
fumis,pass,72,0,0,0,5.55,
fyta,issues,33,1,0,0,3.71,
garages_amsterdam,pass,6,0,0,0,2.45,
gardena_bluetooth,pass,40,0,0,0,5.17,
gdacs,pass,8,0,0,0,2.70,
generic_hygrostat,pass,76,0,0,0,4.01,
generic_thermostat,pass,114,0,0,0,5.61,
geniushub,pass,23,0,0,0,2.89,
gentex_homelink,pass,13,0,0,0,2.75,
geo_json_events,pass,5,0,0,0,2.55,
geocaching,pass,5,0,0,0,2.81,
geofency,pass,5,0,0,0,3.00,
geonetnz_quakes,pass,9,0,0,0,2.78,
geonetnz_volcano,pass,7,0,0,0,2.64,
ghost,pass,27,0,0,0,3.44,
gios,issues,17,1,0,0,3.07,
github,pass,17,0,0,0,2.90,
glances,pass,16,0,0,0,2.77,
goalzero,pass,15,0,0,0,2.75,
gogogate2,pass,15,0,0,0,2.67,
goodwe,issues,5,1,0,0,2.59,
google,issues,136,1,0,0,8.22,
google_air_quality,pass,19,0,0,0,2.77,
google_assistant_sdk,pass,41,0,0,0,3.71,
google_drive,pass,40,0,0,0,4.21,
google_mail,pass,28,0,0,0,3.57,
google_photos,pass,35,0,0,0,3.52,
google_sheets,pass,24,0,0,0,3.06,
google_tasks,pass,42,0,0,0,4.20,
google_travel_time,pass,44,0,0,0,3.65,
google_weather,issues,44,1,0,0,3.85,
govee_ble,pass,20,0,0,0,3.21,
govee_light_local,pass,23,0,0,0,3.02,
gpsd,pass,2,0,0,0,2.37,
gpslogger,pass,3,0,0,1,2.91,
gree,pass,123,0,0,0,7.31,
green_planet_energy,pass,11,0,0,0,2.75,
group,pass,392,0,0,0,24.47,
growatt_server,issues,140,2,0,0,14.23,
guardian,issues,11,1,0,0,2.54,
guntamatic,pass,15,0,0,0,2.61,
habitica,pass,382,0,0,0,38.88,
hanna,pass,5,0,0,0,2.41,
harmony,pass,22,0,0,0,2.79,
hdfury,pass,50,0,0,0,6.49,
hegel,pass,12,0,0,0,2.51,
heos,issues,147,2,0,0,8.10,
here_travel_time,pass,39,0,0,0,3.12,
hisense_aehw4a1,pass,4,0,0,0,2.32,
history_stats,pass,55,0,0,0,7.60,
hive,pass,19,0,0,0,2.85,
hko,pass,4,0,0,0,2.38,
hlk_sw16,pass,4,0,0,0,2.29,
holiday,pass,34,0,0,0,3.70,
home_connect,pass,311,0,0,0,15.93,
homeassistant_connect_zbt2,issues,24,1,0,0,4.13,
homeassistant_sky_connect,pass,36,0,0,0,4.29,
homee,pass,199,0,0,0,16.24,
homekit,pass,372,0,0,0,13.61,
homematicip_cloud,pass,182,0,0,0,23.98,
homevolt,pass,33,0,0,0,3.29,
homewizard,pass,149,0,0,0,10.98,
homeworks,pass,38,0,0,0,4.28,
honeywell,pass,44,0,0,0,4.33,
honeywell_string_lights,pass,7,0,0,0,2.39,
hr_energy_qube,pass,28,0,0,0,4.07,
html5,issues,64,1,0,0,5.72,
huawei_lte,pass,36,0,0,0,3.65,
hue,pass,113,0,0,0,20.05,
hue_ble,pass,19,0,0,0,3.05,
huisbaasje,pass,13,0,0,0,2.47,
hunterdouglas_powerview,pass,39,0,0,0,3.29,
husqvarna_automower,issues,93,1,0,0,14.73,
husqvarna_automower_ble,pass,42,0,0,0,5.09,
huum,pass,34,0,0,0,3.35,
hvv_departures,pass,9,0,0,0,2.32,
hydrawise,pass,35,0,0,0,4.25,
hypontech,pass,17,0,0,0,2.66,
ialarm,pass,7,0,0,0,2.30,
iaqualink,pass,28,0,0,0,2.86,
ibeacon,pass,24,0,0,0,3.53,
icloud,pass,17,0,0,0,2.47,
idasen_desk,pass,30,0,0,0,3.75,
idrive_e2,pass,65,0,0,0,4.66,
ifttt,pass,1,0,0,0,2.47,
igloohome,pass,8,0,0,0,2.37,
imap,pass,159,0,0,0,12.42,
imeon_inverter,pass,17,0,0,0,2.94,
imgw_pib,issues,15,1,0,0,2.79,
immich,issues,54,1,0,0,3.82,
improv_ble,pass,38,0,0,0,3.69,
incomfort,pass,50,0,0,0,4.05,
indevolt,pass,83,0,0,0,6.18,
inels,pass,28,0,0,0,3.04,
influxdb,pass,145,0,0,0,6.03,
inkbird,pass,16,0,0,0,2.99,
insteon,pass,79,0,0,0,18.55,
integration,pass,61,0,0,0,4.02,
intelliclima,pass,28,0,0,0,3.21,
intellifire,pass,29,0,0,0,4.24,
iometer,pass,17,0,0,0,2.77,
ios,pass,3,0,0,0,2.32,
iotawatt,pass,9,0,0,0,2.45,
iotty,pass,24,0,0,0,3.17,
ipma,pass,15,0,0,0,2.73,
ipp,pass,29,0,0,0,3.05,
iqvia,issues,4,1,0,0,2.40,
irm_kmi,pass,13,0,0,0,2.69,
iron_os,pass,95,0,0,0,8.95,
iskra,pass,13,0,0,0,2.45,
islamic_prayer_times,pass,45,0,0,0,3.82,
israel_rail,pass,9,0,0,0,2.56,
iss,pass,17,0,0,0,2.56,
ista_ecotrend,pass,49,0,0,0,4.07,
isy994,pass,31,0,0,0,3.06,
ituran,pass,19,0,0,0,2.96,
izone,pass,10,0,0,0,2.55,
jellyfin,pass,44,0,0,0,8.58,
jewish_calendar,pass,123,0,0,0,11.89,
justnimbus,pass,7,0,0,0,2.37,
jvc_projector,pass,31,0,0,0,5.73,
kaleidescape,pass,19,0,0,0,4.00,
keenetic_ndms2,pass,14,0,0,0,2.38,
kegtron,pass,12,0,0,0,2.73,
keymitt_ble,pass,7,0,0,0,2.58,
kiosker,pass,43,0,0,0,3.31,
kmtronic,pass,11,0,0,0,2.48,
knocki,pass,17,0,0,0,2.77,
knx,pass,387,0,0,0,28.04,
kodi,pass,21,0,0,0,2.77,
kostal_plenticore,issues,38,1,0,0,4.10,
kraken,pass,11,0,0,0,2.85,
kulersky,pass,17,0,0,0,2.94,
lacrosse_view,issues,28,1,0,0,3.09,
lamarzocco,pass,94,0,0,0,14.30,
lametric,pass,55,0,0,0,5.57,
landisgyr_heat_meter,pass,10,0,0,0,2.77,
lastfm,pass,15,0,0,0,2.52,
launch_library,pass,2,0,0,0,2.28,
laundrify,pass,18,0,0,0,2.79,
lcn,pass,149,0,0,0,13.39,
ld2410_ble,pass,6,0,0,0,2.56,
leaone,pass,6,0,0,0,2.56,
led_ble,pass,9,0,0,0,2.65,
lektrico,pass,13,0,0,0,2.78,
letpot,pass,40,0,0,0,4.13,
lg_infrared,pass,61,0,0,0,4.33,
lg_netcast,pass,22,0,0,0,3.46,
lg_soundbar,pass,11,0,0,0,2.73,
lg_thinq,pass,29,0,0,0,4.08,
libre_hardware_monitor,pass,26,0,0,0,3.19,
lichess,pass,8,0,0,0,2.48,
lidarr,pass,12,0,0,0,2.60,
liebherr,pass,76,0,0,0,5.72,
lifx,pass,72,0,0,0,5.42,
linkplay,pass,9,0,0,0,2.49,
litejet,pass,32,0,0,0,3.77,
litterrobot,pass,63,0,0,0,5.89,
livisi,pass,4,0,0,0,2.36,
local_calendar,pass,50,0,0,0,5.05,
local_ip,pass,3,0,0,0,2.34,
local_todo,pass,55,0,0,0,5.56,
locative,pass,5,0,0,1,2.99,
lojack,pass,16,0,0,0,2.92,
london_underground,pass,12,0,0,0,2.55,
lookin,pass,7,0,0,0,2.37,
loqed,pass,17,0,0,0,2.98,
luftdaten,pass,11,0,0,0,2.59,
lunatone,pass,40,0,0,0,3.78,
lupusec,pass,5,0,0,0,2.38,
lutron,pass,42,0,0,0,3.76,
lutron_caseta,pass,52,0,0,0,4.93,
lyric,pass,4,0,0,0,2.40,
madvr,issues,16,1,0,0,3.19,
mailgun,pass,5,0,0,0,2.69,
marantz_infrared,pass,36,0,0,0,3.44,
mastodon,issues,82,1,0,0,26.20,
matter,pass,372,0,0,1,68.76,
mcp,pass,45,0,0,0,4.15,
mcp_server,pass,47,0,0,0,5.93,
mealie,pass,94,0,0,0,7.84,
meater,pass,10,0,0,0,2.54,
medcom_ble,pass,9,0,0,0,2.62,
media_extractor,pass,20,0,0,0,7.61,
melcloud,issues,23,1,0,0,2.79,
melnor,pass,17,0,0,0,3.53,
met,pass,18,0,0,0,2.57,
met_eireann,pass,10,0,0,0,2.53,
